"FON KODU"	"FON ADI"	"KATEGORİ"	"ALT KATEGORİ"	"FİYAT"	"RİSK DEĞERİ"	"GÜNLÜK"	"HAFTALIK"	"1AY"	"3AY"	"YBB"	"6AY"	"1YIL"	"3YIL"	"5YIL"	"STANDART SAPMA"	"DEĞİŞKENLİK KATSAYISI"	"SHARPE"	"AŞAĞI YÖNLÜ RİSK"	"NEGATİF GETİRİLİ GÜN SAYISI"	"NEGATİF GETİRİLİ GÜN ORANI"	"MAKSİMUM KAYIP"	"FONUN YAŞI"	"PORTFÖY BÜYÜKLÜĞÜ"	"YATIRIMCI SAYISI"	"YÖNETİM ÜCRETİ"	"AZAMİ FON İŞLETİM GİDERİ"	"TEDAVÜLDEKİ PAY ADETİ"	"DOLULUK ORANI"	"ALIŞ VALÖRÜ"	"SATIŞ VALÖRÜ"	"MİNİMUM ALIŞ MİKTARI"	"MAXİMUM ALIŞ MİKTARI"	"MİNİMUM SATIŞ MİKTARI"	"MAXİMUM SATIŞ MİKTARI"	"BANKA BONOSU"	"BYF KATILMA PAYI"	"DEVLET TAHVİLİ"	"DİĞER"	"DÖVİZ KAMU İÇ BORÇLANMA ARACI"	"DÖVİZ ÖDEMELİ BONO"	"DÖVİZ ÖDEMELİ TAHVİL"	"EUROBONDS"	"FİNANSMAN BONOSU"	"FON KATILMA BELGESİ"	"GAYRİMENKUL SERTİFİKASI"	"GAYRİMENKUL YATIRIM FON KATILMA PAYI"	"GİRİŞİM YATIRIM FON KATILMA PAYI"	"HAZİNE BONOSU"	"HİSSE SENEDİ"	"KAMU DIŞ BORÇLANMA ARACI"	"KAMU KİRA SERTİFİKASI"	"KAMU KİRA SERTİFİKASI DÖVİZ"	"KAMU KİRA SERTİFİKASI TL"	"KAMU YURT DIŞI KİRA SERTİFİKASI"	"KATILIM HESABI"	"KATILIM HESABI ALTIN"	"KATILIM HESABI DÖVİZ"	"KATILIM HESABI TL"	"KIYMETLİ MADEN"	"KIYMETLİ MADEN CİNSİNDEN BYF"	"KIYMETLİ MADEN KAMU BORÇLANMA ARACI"	"KIYMETLİ MADEN KAMU KİRA SERTİFİKASI"	"MEVDUAT ALTIN"	"MEVDUAT DÖVİZ"	"MEVDUAT TL"	"ÖZEL SEKTÖR YURT DIŞI KİRA SERTİFİKASI"	"ÖZEL SEKTÖR DIŞ BORÇ ARACI"	"ÖZEL SEKTÖR KİRA SERTİFİKASI"	"ÖZEL SEKTÖR TAHVİLİ"	"REPO"	"TAKASBANK PARA PİYASASI"	"TERS REPO"	"TÜREV ARACI"	"VADELİ İŞLEMLER NAKİT TEMİNATI"	"VADELİ MEVDUAT"	"VARLIĞA DAYALI MENKUL KIYMET"	"YABANCI BORÇLANMA ARACI"	"YABANCI BORSA YATIRIM FONU"	"YABANCI HİSSE SENEDİ"	"YABANCI KAMU BORÇLANMA ARACI"	"YABANCI MENKUL KIYMET"	"YABANCI ÖZEL SEKTÖR BORÇLANMA ARACI"	"YATIRIM FONLARI KATILMA PAYI"
"FDV"	"Azimut Portföy DMR Serbest Özel Fon"	"Diğer Serbest Fonlar"	"Diğer - Özel Serbest Fonlar"	"2.673152"	"6"	"1.6889"	"0.5963"	"1.1829"	"0.7411"	"55.2915"	"20.5477"	"62.1062"	"N/A"	"N/A"	"11.89"	"0.19"	"0.17"	"6.86"	"92"	"36.80"	"-6.08"	"1"	"668288041"	"1"	"1.05"	""	"250000000"	"50.00"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	"-0.14"	""	""	""	""	""	""	""	""	""	""	"53.12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.18"	""	""	"1.03"	"2.92"	""	""	""	""	"3.56"	""	""	""	""	""	""	""	""	"31.33"
"IZM"	"Azimut Portföy İzmir Serbest (TL) Özel Fon"	"Diğer Serbest Fonlar"	"Diğer - Özel Serbest Fonlar"	"1.415357"	"5"	"3.8819"	"-0.2791"	"0.1380"	"-8.9784"	"33.6188"	"-6.5272"	"39.1998"	"N/A"	"N/A"	"19.54"	"0.50"	"-1.07"	"13.04"	"114"	"45.60"	"-19.16"	"1"	"350788155"	"1"	"0.53"	""	"247844305"	"24.78"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	"-1.14"	""	""	""	""	"10.18"	""	""	""	""	""	"82.98"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.07"	""	""	""	""	""	"3.24"	""	""	""	""	""	""	""	""	"0.67"
"AL7"	"Albaraka Portföy İki.Kıs.Vad.Kat. Serbest (TL) Fon"	"Katılım Serbest Fonları"	"Katılım - Kısa Vade Serbest Fonlar"	"1.865351"	"2"	"0.1212"	"0.8482"	"3.8634"	"8.4103"	"37.1551"	"15.4603"	"45.9990"	"N/A"	"N/A"	"2.96"	"0.06"	"-4.75"	"0.11"	"2"	"0.80"	"-0.10"	"1"	"774882384"	"26"	"1.46"	""	"415408413"	"3.78"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.02"	""	""	""	""	"99.90"	""	""	""	""	""	""	""	""	""	"0.08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"KOZ"	"İş Portföy Koza Serbest (Döviz) Özel Fon"	"Döviz Serbest Fonları"	"Döviz - Özel Serbest Fonlar"	"41.296717"	""	"-0.3134"	"-0.1453"	"-0.0797"	"5.3135"	"24.2626"	"10.9640"	"34.6173"	"N/A"	"N/A"	"3.71"	"0.11"	"-6.85"	"2.01"	"62"	"24.80"	"-1.38"	"1"	"314583360"	"4"	"0.50"	""	"7617636"	"15.24"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"42.79"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"57.21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"TNF"	"TEB Portföy Onuncu Serbest (TL) Fon"	"Diğer Serbest Fonlar"	"Diğer Serbest Fonlar"	"2.028954"	"1"	"0.1313"	"0.9231"	"4.1740"	"12.9695"	"48.9109"	"28.0398"	"58.2357"	"N/A"	"N/A"	"1.90"	"0.03"	"-0.97"	"0.00"	"0"	"0.00"	"0.00"	"1"	"2575019147"	"3"	"0.30"	""	"1269136202"	"63.46"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	"1.09"	""	""	""	""	"4.62"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"91.50"	""	""	""	"2.79"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"DP8"	"Deniz Portföy Kar Payı Ödeyen Altı.Serbest(Dvz)Fon"	"Döviz Serbest Fonları"	"Döviz Serbest Fonları"	"35.130729"	"6"	"0.0000"	"-0.2931"	"0.1639"	"3.4822"	"15.0237"	"4.8336"	"22.7150"	"N/A"	"N/A"	"5.13"	"0.23"	"-7.28"	"2.18"	"18"	"7.20"	"-1.98"	"1"	"158808319"	"52"	"1.00"	""	"4520496"	"4.52"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10.50"	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.48"	"0.01"	""	"89.01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"DP5"	"Deniz Portföy Mer Serbest (Döviz) Özel Fon"	"Döviz Serbest Fonları"	"Döviz - Özel Serbest Fonlar"	"52.171515"	""	"0.0000"	"-2.0749"	"-10.7944"	"12.1253"	"16.9635"	"26.1776"	"74.9970"	"N/A"	"N/A"	"48.30"	"0.64"	"0.31"	"29.11"	"30"	"12.00"	"-17.97"	"1"	"811848036"	"1"	"0.50"	""	"15561136"	"77.81"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"267.71"	""	""	""	""	""	""	""	""	""	""	""	""	""	"11.68"	""	""	""	""	""	"-191.19"	""	""	""	""	""	""	""	""	"11.80"	""	""	""	""
"NHT"	"Azimut Portföy NH Serbest (Döviz) Özel Fon"	"Döviz Serbest Fonları"	"Döviz - Özel Serbest Fonlar"	"42.372222"	"3"	"-0.2239"	"-0.0630"	"0.1731"	"4.2165"	"24.3278"	"8.9705"	"33.7422"	"N/A"	"N/A"	"4.84"	"0.14"	"-5.44"	"1.62"	"62"	"24.80"	"-1.26"	"1"	"589995184"	"2"	"0.31"	""	"13924103"	"2.78"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	"17.12"	""	"1.11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.09"	""	""	"81.68"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"NFK"	"Hedef Portföy Nehir Hisse Senedi Serbest (TL) Fon"	"Hisse Senedi Serbest Fonları"	"Hisse Senedi Serbest Fonları"	"2.749465"	"7"	"2.7753"	"-1.2084"	"-0.8397"	"-10.9325"	"24.0337"	"-13.8988"	"14.1198"	"N/A"	"N/A"	"29.63"	"2.10"	"-1.55"	"20.64"	"117"	"46.80"	"-24.02"	"1"	"1192254796"	"110"	"2.99"	""	"433631491"	"8.67"	"1"	"2"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"102.54"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-2.54"	""	""	""	""	""	""	""	""	""	""	""	""	""
"VTF"	"Azimut Portföy Vita Serbest Özel Fon"	"Diğer Serbest Fonlar"	"Diğer - Özel Serbest Fonlar"	"1.615167"	"6"	"-0.2793"	"-3.3344"	"-2.1988"	"-11.0308"	"28.5877"	"-13.4788"	"18.8837"	"N/A"	"N/A"	"22.96"	"1.22"	"-1.79"	"15.93"	"113"	"45.20"	"-20.52"	"1"	"309053417"	"1"	"0.32"	""	"191344580"	"38.27"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	""	""	""	""	""	"0.67"	""	""	""	""	""	"75.77"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"18.21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.35"
