"FON KODU"	"FON ADI"	"KATEGORİ"	"ALT KATEGORİ"	"FİYAT"	"RİSK DEĞERİ"	"GÜNLÜK"	"HAFTALIK"	"1AY"	"3AY"	"YBB"	"6AY"	"1YIL"	"3YIL"	"5YIL"	"STANDART SAPMA"	"DEĞİŞKENLİK KATSAYISI"	"SHARPE"	"AŞAĞI YÖNLÜ RİSK"	"NEGATİF GETİRİLİ GÜN SAYISI"	"NEGATİF GETİRİLİ GÜN ORANI"	"MAKSİMUM KAYIP"	"FONUN YAŞI"	"PORTFÖY BÜYÜKLÜĞÜ"	"YATIRIMCI SAYISI"	"YÖNETİM ÜCRETİ"	"AZAMİ FON İŞLETİM GİDERİ"	"TEDAVÜLDEKİ PAY ADETİ"	"DOLULUK ORANI"	"ALIŞ VALÖRÜ"	"SATIŞ VALÖRÜ"	"MİNİMUM ALIŞ MİKTARI"	"MAXİMUM ALIŞ MİKTARI"	"MİNİMUM SATIŞ MİKTARI"	"MAXİMUM SATIŞ MİKTARI"	"BANKA BONOSU"	"BYF KATILMA PAYI"	"DEVLET TAHVİLİ"	"DİĞER"	"DÖVİZ KAMU İÇ BORÇLANMA ARACI"	"DÖVİZ ÖDEMELİ BONO"	"DÖVİZ ÖDEMELİ TAHVİL"	"EUROBONDS"	"FİNANSMAN BONOSU"	"FON KATILMA BELGESİ"	"GAYRİMENKUL SERTİFİKASI"	"GAYRİMENKUL YATIRIM FON KATILMA PAYI"	"GİRİŞİM YATIRIM FON KATILMA PAYI"	"HAZİNE BONOSU"	"HİSSE SENEDİ"	"KAMU DIŞ BORÇLANMA ARACI"	"KAMU KİRA SERTİFİKASI"	"KAMU KİRA SERTİFİKASI DÖVİZ"	"KAMU KİRA SERTİFİKASI TL"	"KAMU YURT DIŞI KİRA SERTİFİKASI"	"KATILIM HESABI"	"KATILIM HESABI ALTIN"	"KATILIM HESABI DÖVİZ"	"KATILIM HESABI TL"	"KIYMETLİ MADEN"	"KIYMETLİ MADEN CİNSİNDEN BYF"	"KIYMETLİ MADEN KAMU BORÇLANMA ARACI"	"KIYMETLİ MADEN KAMU KİRA SERTİFİKASI"	"MEVDUAT ALTIN"	"MEVDUAT DÖVİZ"	"MEVDUAT TL"	"ÖZEL SEKTÖR YURT DIŞI KİRA SERTİFİKASI"	"ÖZEL SEKTÖR DIŞ BORÇ ARACI"	"ÖZEL SEKTÖR KİRA SERTİFİKASI"	"ÖZEL SEKTÖR TAHVİLİ"	"REPO"	"TAKASBANK PARA PİYASASI"	"TERS REPO"	"TÜREV ARACI"	"VADELİ İŞLEMLER NAKİT TEMİNATI"	"VADELİ MEVDUAT"	"VARLIĞA DAYALI MENKUL KIYMET"	"YABANCI BORÇLANMA ARACI"	"YABANCI BORSA YATIRIM FONU"	"YABANCI HİSSE SENEDİ"	"YABANCI KAMU BORÇLANMA ARACI"	"YABANCI MENKUL KIYMET"	"YABANCI ÖZEL SEKTÖR BORÇLANMA ARACI"	"YATIRIM FONLARI KATILMA PAYI"
"AAK"	"Ata Portföy Çoklu Varlık Değişken Fonu"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"22.379959"	"4"	"0.6964"	"-1.7341"	"-0.9087"	"0.0320"	"37.4958"	"8.5756"	"40.0024"	"340.8469"	"566.3822"	"11.16"	"0.28"	"-1.80"	"6.67"	"106"	"42.40"	"-7.04"	"31"	"72487300"	"1029"	"1.50"	"3.65"	"3238938"	"0.49"	"1"	"2"	"10"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	"1.49"	"9.82"	""	""	""	"8.00"	""	""	""	""	""	"40.07"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"17.26"	""	""	"23.36"	""	""	""	""	""	""	""	""	""	""	""
"AAL"	"Ata Portföy Para Piyasası (TL) Fonu"	"Para Piyasası Fonları"	"Para Piyasası Fonları"	"1.702899"	"1"	"0.1352"	"0.9279"	"4.1443"	"13.0698"	"48.4608"	"27.6971"	"57.3764"	"132.8773"	"201.0970"	"1.87"	"0.03"	"-1.44"	"0.00"	"0"	"0.00"	"0.00"	"25"	"1960458255"	"5943"	"1.00"	"1.65"	"1151247587"	"11.51"	"0"	"0"	"10"	"Bilgi Yok"	"10"	"Bilgi Yok"	""	""	"2.48"	""	""	""	""	""	"25.62"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.02"	""	""	""	"6.82"	""	""	"58.44"	""	""	""	"1.62"	""	""	""	""	""	""	""
"AAV"	"Ata Portföy İkinci Hisse Senedi (TL) Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"43.110199"	"6"	"3.8164"	"-1.3163"	"-3.7802"	"-13.0299"	"32.1215"	"-8.4805"	"27.1915"	"740.9359"	"1524.7767"	"23.24"	"0.85"	"-1.41"	"15.77"	"119"	"47.60"	"-26.77"	"12"	"1742551243"	"6407"	"2.25"	"3.65"	"40420858"	"26.95"	"1"	"2"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	"0.05"	""	""	""	""	""	""	""	""	""	""	"99.02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.93"	""	""	""	""	""	""	""	""	""	""	""
"ABU"	"Ak Portföy Birebir Bankacılık Değişken Özel Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"0.053455"	"1"	"0.1142"	"0.8262"	"3.7075"	"11.4830"	"42.6684"	"24.1263"	"51.1437"	"122.2938"	"181.2977"	"1.83"	"0.04"	"-4.87"	"0.04"	"1"	"0.40"	"-0.04"	"11"	"5061927"	"65"	"2.00"	"3.65"	"94694911"	"0.47"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	"23.79"	""	""	""	""	""	"26.67"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2.35"	""	""	""	"28.84"	""	""	"19.78"	""	""	""	""	""	""	""	""	""	""	""
"ACC"	"İstanbul Portföy Dördüncü Hisse Senedi Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"25.851932"	"6"	"2.5557"	"-2.7156"	"-3.2660"	"-10.7632"	"35.6313"	"-5.3040"	"35.9079"	"709.8385"	"1292.6337"	"21.86"	"0.61"	"-1.11"	"14.24"	"120"	"48.00"	"-22.01"	"8"	"224688656"	"2039"	"2.56"	"3.65"	"8691368"	"0.87"	"1"	"2"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"90.82"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.64"	""	""	""	""	""	""	""	""	"4.46"	""	""	""	""	""	""	""	""	"4.08"
"ACD"	"İstanbul Portföy İkinci Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"3.472327"	"5"	"0.9644"	"-0.5263"	"0.5583"	"1.6275"	"47.4900"	"9.0196"	"51.0183"	"583.6702"	"1215.6093"	"13.65"	"0.27"	"-0.66"	"7.98"	"110"	"44.00"	"-6.31"	"26"	"150649168"	"1633"	"1.60"	"3.65"	"43385648"	"14.46"	"1"	"2"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"ACK"	"İstanbul Portföy Hisse Senedi Fonu(Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"0.321090"	"6"	"2.0526"	"-0.4279"	"-0.7088"	"-3.2226"	"35.9531"	"-4.5296"	"31.6077"	"386.4116"	"741.2104"	"19.81"	"0.63"	"-1.44"	"13.26"	"114"	"45.60"	"-14.41"	"20"	"116834785"	"1219"	"1.60"	"3.65"	"363869263"	"7.70"	"1"	"2"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"ADE"	"Ak Portföy Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"0.492255"	"1"	"0.1210"	"0.8626"	"3.8300"	"11.8461"	"44.3250"	"25.2204"	"53.6113"	"130.9863"	"192.4727"	"1.73"	"0.03"	"-3.73"	"0.00"	"0"	"0.00"	"0.00"	"23"	"193333696"	"26478"	"2.00"	"3.65"	"392751260"	"1.96"	"1"	"1"	"1"	"90000000000"	"1"	"90000000000"	""	""	"12.85"	""	""	""	""	""	"17.94"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2.40"	""	""	""	"17.07"	""	"2.49"	"33.67"	""	""	""	""	""	""	""	""	""	""	"13.68"
"ADP"	"Ak Portföy Bıst Banka Endeksi Hisse Senedi (TL) Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Endeks Hisse Senedi Fonları"	"0.858639"	"7"	"2.0783"	"-6.0919"	"-11.3057"	"-14.2694"	"35.8065"	"-13.2311"	"47.5160"	"717.7904"	"767.4348"	"36.06"	"0.76"	"-0.35"	"22.75"	"120"	"48.00"	"-29.20"	"24"	"3444962890"	"36202"	"2.00"	"2.19"	"4012121341"	"20.06"	"1"	"2"	"1"	"90000000000"	"1"	"90000000000"	""	"3.20"	"0.26"	""	""	""	""	""	""	""	""	""	""	""	"91.65"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.07"	""	""	""	""	""	"4.82"	""	""	""	""	""	""	""	""	""	""	""	""
"AED"	"Ata Portföy Birinci Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"66.295920"	"5"	"1.5993"	"-2.2420"	"-3.0191"	"-6.7915"	"32.9007"	"0.3655"	"34.9629"	"435.3829"	"885.6664"	"15.88"	"0.45"	"-1.58"	"10.15"	"117"	"46.80"	"-16.77"	"14"	"104483650"	"1838"	"1.75"	"3.65"	"1576019"	"10.51"	"1"	"2"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	"1.87"	"7.09"	""	""	""	"10.60"	""	""	""	""	""	"67.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.38"	""	""	"4.96"	""	""	""	""	""	""	""	""	""	""	""
"AES"	"Ak Portföy Petrol Yabancı BYF Fon Sepeti Fonu"	"Fon Sepeti Fonları"	"Yabancı Fon Sepeti Fonları"	"0.084639"	"7"	"-2.5817"	"3.3494"	"-4.5816"	"1.1956"	"17.3586"	"-1.9701"	"9.2821"	"289.8798"	"472.6977"	"25.85"	"2.79"	"-1.96"	"19.29"	"114"	"45.60"	"-15.99"	"13"	"951594276"	"39962"	"2.90"	"4.38"	"11242938142"	"17.03"	"1"	"3"	"1"	"99000000000"	"1"	"90000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"AFA"	"Ak Portföy Amerika Yabancı Hisse Senedi Fonu"	"Hisse Senedi Fonları"	"Yabancı Hisse Senedi Fonları"	"0.678384"	"6"	"2.5648"	"0.7563"	"3.2840"	"15.6141"	"40.1105"	"20.1628"	"59.4817"	"297.5062"	"930.3993"	"13.07"	"0.22"	"-0.05"	"8.41"	"100"	"40.00"	"-9.65"	"13"	"4129716624"	"67388"	"2.90"	"3.65"	"6087575549"	"10.15"	"1"	"3"	"1"	"99000000000"	"1"	"90000000000"	""	""	""	"0.67"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.90"	""	""	""	""	""	""	""	"96.22"	""	""	""	""
"AFO"	"Ak Portföy Altın Fonu"	"Kıymetli Madenler Fonları"	"Kıymetli Madenler Fonları"	"0.637746"	"6"	"-1.3837"	"-2.3850"	"3.9526"	"18.7169"	"49.5151"	"24.8839"	"64.2139"	"419.7307"	"915.6970"	"22.67"	"0.35"	"0.18"	"12.85"	"117"	"46.80"	"-8.11"	"18"	"9009233802"	"74774"	"2.04"	"2.19"	"14126680194"	"42.80"	"1"	"1"	"1"	"90000000000"	"1"	"90000000000"	""	"0.12"	""	"2.33"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.08"	""	""	""	""	"0.56"	"37.35"	""	"20.49"	"37.99"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1.12"
"AFS"	"Ak Portföy Sağlık Sektörü Yabancı Hisse Senedi Fonu"	"Hisse Senedi Fonları"	"Yabancı Hisse Senedi Fonları"	"0.233189"	"6"	"1.0176"	"0.9288"	"-2.6481"	"1.8924"	"14.0796"	"5.7043"	"33.4705"	"229.9269"	"755.6766"	"12.36"	"0.37"	"-2.15"	"8.16"	"96"	"38.40"	"-7.57"	"13"	"737541306"	"33896"	"2.90"	"3.65"	"3162843454"	"5.27"	"1"	"3"	"1"	"99000000000"	"1"	"90000000000"	""	""	""	"2.90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2.52"	""	""	""	""	""	""	""	"95.10"	""	""	""	""
"AFT"	"Ak Portföy Yeni Teknolojiler Yabancı Hisse Senedi Fonu"	"Hisse Senedi Fonları"	"Yabancı Hisse Senedi Fonları"	"0.485045"	"6"	"1.6960"	"-0.0855"	"1.6416"	"20.3899"	"40.4844"	"20.8043"	"59.7461"	"290.8312"	"1167.4619"	"17.94"	"0.30"	"-0.02"	"12.29"	"98"	"39.20"	"-14.24"	"14"	"9077504745"	"157111"	"2.90"	"3.65"	"18714755543"	"31.19"	"1"	"3"	"1"	"99000000000"	"1"	"90000000000"	""	""	""	"1.39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.14"	""	""	""	""	""	""	""	"95.15"	""	""	""	""
"AFV"	"Ak Portföy Avrupa Yabancı Hisse Senedi Fonu"	"Hisse Senedi Fonları"	"Yabancı Hisse Senedi Fonları"	"0.320994"	"6"	"-0.6057"	"-0.6675"	"-3.4782"	"3.9498"	"20.7362"	"5.6906"	"36.4045"	"280.6855"	"647.5582"	"11.04"	"0.30"	"-2.14"	"7.19"	"97"	"38.80"	"-6.13"	"13"	"627864945"	"19440"	"2.90"	"3.65"	"1956000168"	"3.26"	"1"	"3"	"1"	"99000000000"	"1"	"90000000000"	""	""	""	"2.70"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2.68"	""	""	""	""	""	""	""	"95.13"	""	""	""	""
"AGC"	"Ak Portföy İkinci Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"5.788358"	"6"	"-0.3748"	"-0.1425"	"0.1791"	"3.7836"	"24.3546"	"12.0600"	"30.5862"	"239.4487"	"469.8453"	"3.18"	"0.10"	"-9.28"	"1.59"	"53"	"21.20"	"-1.35"	"5"	"66018500"	"2540"	"1.50"	"3.65"	"11405393"	"2.28"	"1"	"3"	"1"	"99000000000"	"1"	"90000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9.35"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14.56"	""	""	""	""	""	"76.09"	""	""	""
"AHI"	"Atlas Portföy Birinci Hisse Senedi Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"20.352201"	"6"	"2.7635"	"-2.2138"	"-4.1463"	"-11.1919"	"27.0406"	"-9.6795"	"26.3887"	"667.0449"	"1486.2756"	"24.49"	"0.93"	"-1.38"	"16.93"	"120"	"48.00"	"-22.60"	"9"	"71199144"	"2539"	"2.90"	"3.65"	"3498351"	"0.01"	"1"	"2"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	"1.20"	""	""	""	""	""	""	""	""	""	""	"94.85"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.14"	""	""	""	""	""	""	""	""	""	""	""	"3.81"
"AHU"	"Atlas Portföy Birinci Özel Sektör Borçlanma Araçları Fonu"	"Borçlanma Araçları Fonları"	"Özel Sektör Borçlanma Araçları Fonları"	"5.524848"	"1"	"0.1177"	"0.9065"	"3.9752"	"12.3958"	"48.7594"	"27.2481"	"57.8959"	"167.3276"	"263.2138"	"1.78"	"0.03"	"-1.22"	"0.00"	"0"	"0.00"	"0.00"	"7"	"132002282"	"644"	"1.40"	"3.65"	"23892474"	"0.05"	"1"	"1"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	"67.13"	""	""	""	"3.64"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"18.02"	""	"0.02"	""	""	""	""	""	""	""	""	""	""	""	"11.19"
"AIS"	"Ak Portföy Kira Sertifikaları Katılım Fonu"	"Katılım Fonları"	"Kira Sertifikası Fonları"	"0.054240"	"1"	"0.1403"	"0.7804"	"3.1198"	"10.6600"	"41.6262"	"22.8011"	"50.4368"	"130.2794"	"180.7308"	"1.78"	"0.04"	"-5.41"	"0.25"	"4"	"1.60"	"-0.24"	"11"	"590686665"	"5436"	"2.10"	"3.65"	"10890240717"	"72.60"	"1"	"1"	"1"	"90000000000"	"1"	"90000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"AK2"	"Ak Portföy Uzun Vadeli Borçlanma Araçları Fonu"	"Borçlanma Araçları Fonları"	"Uzun Vadeli Borçlanma Araçları Fonları"	"0.352786"	"5"	"0.2424"	"-0.5029"	"-0.5752"	"1.0084"	"11.4222"	"10.3084"	"23.9925"	"47.5259"	"63.9195"	"9.56"	"0.40"	"-3.77"	"4.17"	"105"	"42.00"	"-4.52"	"31"	"100740412"	"10429"	"2.00"	"3.65"	"285556886"	"0.03"	"1"	"1"	"1"	"90000000000"	"1"	"90000000000"	""	""	"90.32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1.86"	""	""	""	""	""	"3.98"	"3.98"	""	""	""	""	""	""	""	""	""	""	""
"AK3"	"Ak Portföy Hisse Senedi (TL) Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"28.678363"	"6"	"2.2964"	"-1.7003"	"-2.3828"	"-8.8121"	"40.4070"	"-2.1574"	"44.5818"	"709.9626"	"1183.8979"	"22.91"	"0.51"	"-0.68"	"14.59"	"118"	"47.20"	"-21.09"	"31"	"6691278866"	"25993"	"3.40"	"3.65"	"233321509"	"1.17"	"1"	"2"	"1"	"90000000000"	"1"	"90000000000"	""	""	"0.22"	""	""	""	""	""	""	""	""	""	""	""	"88.91"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.03"	""	""	""	""	""	"9.65"	""	""	"0.92"	""	""	""	""	""	""	""	""	"0.27"
"AKE"	"Ak Portföy Eurobond (Amerikan Doları) Borçlanma Araçları Fonu"	"Borçlanma Araçları Fonları"	"Dış Borçlanma (Eurobond) Araçları"	"0.342027"	"6"	"-0.3926"	"-0.4294"	"-0.9651"	"4.9639"	"23.7332"	"11.7323"	"34.8501"	"299.6903"	"622.9639"	"4.83"	"0.14"	"-5.22"	"2.47"	"73"	"29.20"	"-1.96"	"14"	"1049304319"	"18356"	"2.90"	"3.65"	"3067899772"	"15.34"	"1"	"2"	"1"	"99000000000"	"1"	"90000000000"	""	""	""	"0.72"	""	""	""	""	""	""	""	""	""	""	""	"68.98"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20.74"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7.23"	"0.98"
"AKU"	"Ak Portföy Bıst 30 Endeksi Hisse Senedi (TL) Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Endeks Hisse Senedi Fonları"	"0.550952"	"6"	"2.5703"	"-1.9707"	"-3.3804"	"-7.9227"	"24.3322"	"-10.8141"	"21.3219"	"470.1017"	"697.4756"	"23.76"	"1.11"	"-1.63"	"15.64"	"121"	"48.40"	"-20.37"	"23"	"824285634"	"19768"	"2.00"	"2.19"	"1496110827"	"7.48"	"1"	"2"	"1"	"90000000000"	"1"	"90000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"95.08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.07"	""	""	""	""	""	"4.12"	""	""	"0.73"	""	""	""	""	""	""	""	""	""
"ALC"	"Ak Portföy Kar Payı Ödeyen Şirketler Hisse Senedi (TL) Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"0.198461"	"6"	"2.3860"	"-0.1590"	"-0.6677"	"-6.2182"	"43.1805"	"0.7074"	"44.2870"	"460.0073"	"925.1085"	"22.19"	"0.50"	"-0.71"	"14.30"	"117"	"46.80"	"-19.51"	"11"	"1435376936"	"35845"	"2.95"	"3.65"	"7232522791"	"36.16"	"1"	"2"	"1"	"90000000000"	"1"	"90000000000"	""	"1.07"	"0.47"	""	""	""	""	""	""	""	""	""	""	""	"85.88"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.08"	""	""	""	""	""	"11.43"	""	""	"1.07"	""	""	""	""	""	""	""	""	""
"ALE"	"Ak Portföy Para Piyasası (TL)Fonu"	"Para Piyasası Fonları"	"Para Piyasası Fonları"	"6.489420"	"1"	"0.1324"	"0.9200"	"4.1135"	"12.9250"	"48.7716"	"27.6225"	"57.3300"	"137.1960"	"204.1939"	"1.89"	"0.03"	"-1.45"	"0.00"	"0"	"0.00"	"0.00"	"11"	"42894374901"	"113529"	"1.53"	"1.65"	"6609893538"	"82.62"	"0"	"0"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	"0.57"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"6.51"	""	""	""	"0.71"	""	""	"92.21"	""	""	""	""	""	""	""	""	""	""	""
"AN1"	"Strateji Portföy Birinci Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"54.648346"	"5"	"1.0363"	"-0.6580"	"-2.0751"	"2.4317"	"49.2136"	"16.1394"	"42.2205"	"438.0578"	"669.3103"	"18.06"	"0.43"	"-0.99"	"11.95"	"106"	"42.40"	"-11.96"	"31"	"406701309"	"2035"	"3.00"	"3.65"	"7442152"	"5.67"	"1"	"2"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"49.40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.23"	"26.31"	""	"16.31"	""	""	""	""	"6.69"	""	""	""	"1.06"
"ANL"	"Ak Portföy Alternatif Bank Para Piyasası(TL) Fonu"	"Para Piyasası Fonları"	"Para Piyasası Fonları"	"17.895045"	"1"	"0.1320"	"0.9232"	"4.1063"	"12.9447"	"49.6350"	"27.8525"	"58.3557"	"143.4851"	"215.3185"	"1.92"	"0.03"	"-0.90"	"0.00"	"0"	"0.00"	"0.00"	"29"	"695637182"	"4631"	"1.28"	"1.65"	"38873173"	"38.87"	"0"	"0"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1.86"	""	""	""	""	""	""	"98.17"	""	""	""	""	""	""	""	""	""	""	""
"AOY"	"Ak Portföy Alternatif Enerji Yabancı Hisse Senedi Fonu"	"Hisse Senedi Fonları"	"Yabancı Hisse Senedi Fonları"	"0.181996"	"6"	"-7.4570"	"-4.1864"	"-13.6576"	"-8.1385"	"-17.8585"	"-10.5530"	"-0.2374"	"39.4605"	"137.5834"	"29.72"	"-125.23"	"-2.03"	"19.40"	"133"	"53.20"	"-18.51"	"18"	"289699698"	"34964"	"2.90"	"3.65"	"1591794130"	"9.36"	"1"	"3"	"1"	"99000000000"	"1"	"90000000000"	""	""	""	"1.96"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.52"	""	""	""	""	""	""	""	"94.42"	""	""	""	""
"APJ"	"Ak Portföy BIST Şirketleri Fon Sepeti Fonu"	"Fon Sepeti Fonları"	"Diğer Fon Sepeti Fonlar"	"4.458623"	"6"	"2.2056"	"-2.2010"	"-3.9369"	"-10.9264"	"30.4989"	"-7.6296"	"27.7591"	"145.6835"	"235.7361"	"21.43"	"0.77"	"-1.51"	"14.23"	"120"	"48.00"	"-22.96"	"6"	"163178778"	"5194"	"1.70"	"4.38"	"36598466"	"7.32"	"1"	"3"	"1"	"900000000000"	"1"	"900000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"APT"	"Ak Portföy Orta Vadeli Borçlanma Araçları Fonu"	"Borçlanma Araçları Fonları"	"Orta Vadeli Borçlanma Araçları Fonları"	"0.094110"	"3"	"0.0808"	"-0.1199"	"0.6599"	"4.6143"	"25.2295"	"17.2214"	"28.6904"	"65.5263"	"105.2249"	"4.44"	"0.15"	"-7.07"	"2.53"	"65"	"26.00"	"-1.92"	"18"	"97164778"	"14723"	"1.40"	"3.65"	"1032458132"	"5.16"	"1"	"1"	"1"	"90000000000"	"1"	"90000000000"	""	""	"65.39"	""	""	""	""	""	"1.75"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"13.71"	""	"0.62"	"18.55"	""	""	""	""	""	""	""	""	""	""	""
"ARE"	"İstanbul Portföy Yabancı (Gelişmekte Olan Piyasalar) Borçlanma Araçları Fonu"	"Borçlanma Araçları Fonları"	"Yabancı Borçlanma Araçları Fonları"	"0.149012"	"6"	"-0.5008"	"-0.5134"	"0.1290"	"3.6173"	"15.8716"	"9.1048"	"21.3809"	"159.9062"	"305.4528"	"9.32"	"0.44"	"-4.15"	"6.27"	"101"	"40.40"	"-5.11"	"12"	"14951622"	"1608"	"2.50"	"3.65"	"100338271"	"0.42"	"1"	"3"	"1"	"9999999999999"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"ARL"	"Ak Portföy Birinci Fon Sepeti Fonu"	"Fon Sepeti Fonları"	"Diğer Fon Sepeti Fonlar"	"8.682257"	"4"	"0.4175"	"-0.1093"	"2.1773"	"7.8397"	"43.6534"	"18.4955"	"54.2158"	"228.7528"	"389.6554"	"5.79"	"0.11"	"-1.01"	"2.74"	"81"	"32.40"	"-2.15"	"9"	"3511592608"	"10402"	"1.95"	"4.38"	"404456207"	"26.96"	"1"	"2"	"1"	"90000000000"	"1"	"90000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
