Fon Kodu,Fon Adı,Fon Tipi,Fon Türü,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşı (%),1 Yıl (%),3 Yıl (%),5 Yıl (%),İlk Fiyat (TL),Son Fiyat (TL),Günlük Getiri (%),Pay (Adet),Fon Toplam Değer (TL),Kategorisi,Yatırımcı Sayısı (Kişi),Pazar Payı(%),Borsa Yatırım Fonları Katılma Payları(%),Devlet Tahvili(%),Diğer(%),Döviz Cinsi Kamu İç Borçlanma Araçları(%),Finansman Bonosu(%),Gayrimenkul Yatırım Fonları Katılma Payları(%),Girişim Sermayesi Yatırım Fonları Katılma Payları(%),Hazine Bonosu(%),Hisse Senedi(%),Katılma Hesabı(Altın),Katılma Hesabı(TL)(%),Katılma Hesabı(Döviz)(%),Kamu Yurt Dışı Kira Sertifikaları(%),Kamu Dış Borçlanma Araçları(%),Kamu Kira Sertifikaları Döviz (%),Kamu Kira Sertifikaları TL (%),Kıymetli Madenler Cinsinden BYF(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları(%),Kıymetli Madenler(%),Mevduat Döviz(%),Mevduat (TL)(%),Özel Sektör Dış Borçlanma Araçları(%),Özel Sektör Kira Sertifikaları(%),Özel Sektör Tahvili(%),Özel Sektör Yurt Dışı Kira Sertifikaları(%),Repo(%),Takasbank Para Piyasası(%),Ters-Repo(%),Vadeli İşlemler Nakit Teminatları(%),Varlığa Dayalı Menkul Kıymetler (%),Yabancı Borsa Yatırım Fonları(%),Yabancı Hisse Senedi(%),Yabancı Kamu Borçlanma Araçları(%),Yabancı Özel Sektör Borçlanma Araçları(%),Yatırım Fonları Katılma Payları(%),Toplam(%)
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.7387,-6.0885,15.8796,34.3331,29.8467,591.2168,749.8986,,0.6121,-0.7938,"1,499,746,527","918,017,639.08",Hisse Senedi Fonu,"20,271",0.53,,0.96,,,,,,,94.97,,,,,,,,,,,,,0.13,,,,,,3.32,,0.62,,,,,,,100.00
MPS,AKTİF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-2.8561,-5.7386,11.7638,35.3194,29.6547,512.9553,1473.8359,,15.3800,-0.9872,"15,924,475","244,919,094.96",Hisse Senedi Yoğun,"4,702",0.14,0.31,,,,,0.94,,,95.72,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,100.00
YUN,YAPI KREDİ PORTFÖY İSTİNYE SERBEST (DÖVİZ) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,2.3648,8.1535,11.7634,,29.4498,,,,37.1234,0.1911,"35,986,809","1,335,951,607.11",Serbest Fon,176,0.07,,,,,,,,,,,,,,,,,,,,,0.94,,98.96,,,,,0.1,,,,,,,,,100.00
OTK,OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,0.4449,8.1111,14.8854,35.2493,29.3507,140.5061,217.5735,,4.3577,-0.0369,"2,892,024","12,602,507.75",Serbest Fon,54,0.00,,,,,,,,,35.85,,,,,,,,,,,,,,,61.85,,,,,,,,,2.3,,,,100.00
ODD,OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-2.1482,-1.5993,9.7083,26.2464,29.2755,220.5077,,,6.3509,-0.0639,"42,162,390","267,768,830.74",Serbest Fon,25,0.01,,,7.01,,,,,,28.91,,,,,,,,,,,,,,,,,,,0.11,19.18,,,,10.96,,,33.83,100.00
DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-6.0432,-7.9669,-9.494,24.3832,29.2125,,,,4.5566,-1.2841,"59,833,429","272,635,132.22",Hisse Senedi Fonu,"5,487",0.16,,,,,,,1.14,,97.27,,,,,,,,,,,,,0.13,,,,,,,1.46,,,,,,,,100.00
OJB,QNB FİNANS PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,0.9223,4.8515,6.5582,16.9563,29.1101,318.0113,,,35.7066,0.0344,"911,734,735","32,554,945,437.92",Serbest Fon,"11,747",1.62,,,5.24,,,,,,,,,2.10,,0.31,,,,,,,28.13,,28.41,,,,,,,,,,,17.44,,18.37,100.00
GPL,GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,0.9452,4.891,6.7904,17.1767,29.0725,,,,35.8245,0.0310,"2,145,160,239","76,849,333,468.45",Serbest Fon,"36,607",3.82,,,,,,,,,,,,0.67,,,,,,,,,11.14,0.01,,,,,,,86.38,,,,,1.8,,,100.00
IHA,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-4.2799,-7.584,5.6009,27.9793,28.9956,,,,2.0819,-0.4509,"37,955,255","79,020,481.38",Hisse Senedi Fonu,568,0.05,,,,,,,,,95.50,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,3.07,100.00
DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.8896,-2.8888,7.802,42.4911,28.8961,,,,2.1701,-0.8546,"52,666,572","114,290,007.77",Hisse Senedi Fonu,"2,759",0.07,,,,,,,,,98.16,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,100.00
