Fon Kodu,Fon Adı,Fon Tipi,Fon Türü,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşı (%),1 Yıl (%),3 Yıl (%),5 Yıl (%),İlk Fiyat (TL),Son Fiyat (TL),Günlük Getiri (%),Pay (Adet),Fon Toplam Değer (TL),Kategorisi,Yatırımcı Sayısı (Kişi),Pazar Payı(%),Borsa Yatırım Fonları Katılma Payları(%),Devlet Tahvili(%),Diğer(%),Döviz Cinsi Kamu İç Borçlanma Araçları(%),Finansman Bonosu(%),Gayrimenkul Yatırım Fonları Katılma Payları(%),Girişim Sermayesi Yatırım Fonları Katılma Payları(%),Hazine Bonosu(%),Hisse Senedi(%),Katılma Hesabı(Altın),Katılma Hesabı(TL)(%),Katılma Hesabı(Döviz)(%),Kamu Yurt Dışı Kira Sertifikaları(%),Kamu Dış Borçlanma Araçları(%),Kamu Kira Sertifikaları Döviz (%),Kamu Kira Sertifikaları TL (%),Kıymetli Madenler Cinsinden BYF(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları(%),Kıymetli Madenler(%),Mevduat Döviz(%),Mevduat (TL)(%),Özel Sektör Dış Borçlanma Araçları(%),Özel Sektör Kira Sertifikaları(%),Özel Sektör Tahvili(%),Özel Sektör Yurt Dışı Kira Sertifikaları(%),Repo(%),Takasbank Para Piyasası(%),Ters-Repo(%),Vadeli İşlemler Nakit Teminatları(%),Varlığa Dayalı Menkul Kıymetler (%),Yabancı Borsa Yatırım Fonları(%),Yabancı Hisse Senedi(%),Yabancı Kamu Borçlanma Araçları(%),Yabancı Özel Sektör Borçlanma Araçları(%),Yatırım Fonları Katılma Payları(%),Toplam(%)
IIE,İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,24.1404,72.9589,101.8023,123.2746,120.8764,,,,5.6258,1.4409,"792,368,553","4,457,742,484.12",Serbest Fon,"8,649",0.23,,1.34,,,,,1.19,,63.13,,,,,,,,,,,,,,,,,,,,,,,,,,,34.34,100.00
IVY,İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,Menkul Kıymet Yatırım Fonları,Karma Şemsiye Fonu,2.4158,2.5606,10.6302,30.4734,95.8152,,,,2.6378,0.9503,"210,353,479","554,871,494.26",Karma Fon,"21,783",11.89,,,,,21.68,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68,61.28,,,5.36,100.00
IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,1.9197,14.8853,36.5069,59.9163,89.5353,1126.1609,2085.4745,,0.6015,0.8779,"8,333,848","5,013,063,438.70",Değişken Fon,"45,425",8.78,,1.21,,,,,2.40,,59.19,,,,,,,,,,,,,1.07,,0.02,1.15,,,,3.9,2.39,0.79,,10.97,,,16.91,100.00
LLA,ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,2.4481,13.4624,-14.2351,38.626,84.9368,,,,1.7885,-1.3836,"40,277,112","72,037,339.00",Serbest Fon,"1,250",0.00,,,,,,,,,93.29,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,100.00
DDA,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-1.4599,-8.6286,41.1858,58.0838,84.6338,839.9481,,,11.7297,-1.1146,"24,292,919","284,947,800.51",Serbest Fon,"2,044",0.01,,,,,,,,,92.23,,,,,,,,,,,,,0.27,,,,,,,4.45,3.05,,,,,,,100.00
TAU,İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.3227,-8.5046,45.3573,59.2506,82.9062,980.4075,849.1918,,0.4979,-0.9425,"6,711,348,310","3,341,939,505.13",Hisse Senedi Fonu,"76,418",1.99,,,,,,,,,94.27,,,,,,,,,,,,,,,,,,,,5.18,0.55,,,,,,,100.00
IZB,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,9.2063,27.2161,44.702,76.7556,81.8766,,,,7.4695,0.0000,"38,937,940","290,847,257.67",Serbest Fon,219,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,100.00
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.4049,-8.6944,43.7879,56.7166,80.2859,974.2021,852.1212,,0.9815,-0.9464,"4,155,072,422","4,078,066,777.88",Hisse Senedi Fonu,"38,863",2.43,3.15,0.21,,,,,,,91.77,,,,,,,,,,,,,0.04,,,,,,4.83,,,,,,,,,100.00
YZH,TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.6195,-9.157,43.5998,56.6327,80.102,954.9154,,,8.6059,-0.9500,"101,806,263","876,138,854.23",Hisse Senedi Fonu,"11,940",0.52,,,,,,,,,92.09,,,,,,,,,,,,,,,,,,,0.01,0.34,7.56,,,,,,,100.00
YCP,YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-1.8926,-9.6214,42.8506,55.9642,77.4292,,,,6.9179,-0.9380,"181,702,561","1,256,998,250.26",Serbest Fon,"4,002",0.06,,,,,,,,,98.60,,,,,,,,,,,,,,,,,,,0.26,,1.04,,,,,,0.10,100.00
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,0.0357,1.2119,2.6,25.1046,75.1775,202.14,,,2.9591,-0.1008,"178,794,073","529,067,662.80",Değişken Fon,"24,530",0.93,,,,,,,,,22.64,,,,,,,,,,,,,,,,,,,6.25,,,,,71.11,,,,100.00
IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.3963,-2.9307,34.3814,63.0363,73.7122,1315.7055,,,23.8844,-0.9436,"284,996,005","6,806,972,625.21",Hisse Senedi Yoğun,"64,419",4.06,,,,,,,,,91.99,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,6.82,100.00
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,5.8284,16.2938,24.0819,40.545,73.3024,500.3784,,,7.4441,0.6052,"135,905,695","1,011,697,139.58",Altın ve Diğer Kıymetli Madenler Fonu,"10,102",1.40,,,,,,,0.56,,2.84,,,,,,,,12.73,58.74,,2.21,,,,1.55,,,,,,,,15.79,,,,5.58,100.00
HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,4.8136,15.3023,33.8702,48.8382,72.717,,,,1.5783,-0.0718,"557,866,209","880,505,845.51",Serbest Fon,"1,620",0.05,,,,,0.61,,,,78.23,,,,,,,,,,,,,,,,,,,-3.33,,24.49,,,,,,,100.00
IRT,INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,1.0119,4.3308,10.5184,40.858,72.6024,,,,3.6197,0.1246,"39,081,439","141,462,053.09",Değişken Fon,"3,794",0.25,,,,,,,,,23.19,,,,,,,,,,,,,0.06,,,,,,,,,,,69.55,,,7.20,100.00
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-4.0229,-4.6717,36.4216,61.9858,72.356,1169.6481,,,12.5562,-1.0943,"393,800,238","4,944,653,983.12",Hisse Senedi Fonu,"85,245",2.95,,,,,,,,,97.84,,,,,,,,,,,,,,,,,,,,2.16,,,,,,,,100.00
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,3.474,5.3688,16.8341,43.6061,72.2873,,,,4.8343,0.3468,"147,383,102","712,500,939.93",Değişken Fon,"21,005",1.25,,,,,,,,,14.55,,,,,,,,,,,,0.09,,4,,,,,9.07,,3.68,,,68.61,,,,100.00
TUA,TEB PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,6.5432,17.1881,23.7669,43.5271,71.9732,462.4593,855.9557,,0.6404,0.4291,"7,491,714,049","4,797,452,758.45",Altın Fonu,"33,438",6.64,0.89,,2.61,,,,,,7.43,,1.92,,,,,,0.55,60.6,,20.14,,,,,,,,,,,,5.86,,,,,100.00
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,6.1081,18.0037,22.7633,41.9837,71.1551,468.6752,876.7728,,0.3880,0.8026,"38,931,482,933","15,103,738,305.76",Altın Fonu,"81,377",20.91,3.09,58.43,3.73,,,,,,,,,,,,,,,21.2,,6.91,,,,,,,,,,0.85,,4.04,1.16,,,0.59,100.00
TTA,İŞ PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,4.9244,19.228,27.4468,44.0324,70.7808,479.3802,894.7318,,0.3015,-0.6255,"34,567,852,783","10,423,430,031.75",Altın Fonu,"195,112",14.43,1.19,,,,,,,,10.75,,,,,,,,18.64,58.81,2.12,0.11,,,,,,,,,3.35,5.03,,,,,,,100.00
OJK,QNB FİNANS PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,5.4005,16.6774,23.0049,44.2491,69.7514,461.9444,,,5.6085,0.1543,"2,185,984,494","12,260,003,968.15",Altın Fonu,"21,286",16.97,,,,,,,,,0.59,,,,,,,,,32.74,23.29,20.36,,,,,,,,2.82,8.19,2.44,,,8.16,,,1.41,100.00
GGK,INVEO PORTFÖY ALTIN FON,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,5.3008,16.1492,24.4243,44.4899,69.6936,495.0655,,,6.0721,0.6714,"363,760,618","2,208,788,232.71",Altın Fonu,"21,434",3.06,,,,,,,,,10.42,,,,,,,,1.68,21.5,23.07,33.58,,0.03,,,,,,,,2.32,,5.24,,,,2.16,100.00
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,4.1267,16.0504,22.2732,42.8802,69.6305,489.3307,881.8968,,11.7875,0.9935,"1,862,578,851","21,955,079,270.24",Katılım Fonu,"42,379",17.82,,,,,,,,,,,,,,,,,,,,99.97,,,,,,,,,,,,,,,,0.03,100.00
TI2,İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-4.5288,-6.7252,31.9194,56.9167,69.4216,1053.2424,1576.4286,,944.6301,1.9769,"7,307,682","6,903,056,202.68",Hisse Senedi Fonu,"43,560",4.06,,,,,,,,,98.58,,,,,,,,,,,,,,,,,,,,1.31,0.11,,,,,,,100.00
KRF,KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,2.6707,9.9718,27.4725,48.6363,68.8517,509.8402,774.2704,,11.5846,0.1413,"63,088,288","730,852,161.82",Değişken Fon,"1,090",1.28,,,,,10.29,,,,1.29,,,,,4.74,,,,,,,,,,,,,,,,82.34,,,,,0.98,0.36,100.00
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,5.2454,17.1824,24.8625,40.0753,68.6961,,,,5.1568,0.4977,"37,369,510","192,705,354.33",Katılım Fonu,"1,261",0.16,3.72,,2.78,,,,,,,,,,,,,,,4.91,,88.59,,,,,,,,,,,,,,,,,100.00
UP1,ÜNLÜ PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,4.9514,15.8375,21.5468,36.8737,67.2501,,,,2.6252,0.2474,"157,400,527","413,208,387.53",Altın ve Diğer Kıymetli Madenler Fonu,"1,374",0.57,13.47,,3.60,,,,,,9.45,,,,,,,8.44,,,26.98,22.38,,,,,,,,0.03,12.72,,,,,,,2.93,100.00
YZC,YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,1.3241,7.0113,12.3021,35.0484,66.71,,,,2.0628,1.2571,"138,518,073","285,738,281.87",Değişken Fon,"14,863",0.50,,,,,,,,,15.19,,,,,,,,,,,,2.47,,,,,,,,,0.61,,1.19,66.5,,,14.04,100.00
ICA,ICBC TURKEY PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,5.3241,15.6963,21.6975,36.0956,66.6004,435.5188,797.8484,,0.2484,0.6243,"1,605,149,150","398,682,874.12",Altın Fonu,"4,353",0.55,0.07,,,,,,,,3.27,,,,,,,,1.33,34.43,14.39,44.3,,,,,,,,0.06,1.77,0.38,,,,,,,100.00
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,10.6011,11.3054,30.2845,49.159,66.2845,369.0338,,,4.9172,0.1962,"375,912,671","1,848,441,788.54",Serbest Fon,"6,280",0.09,,0.24,,,,0.32,1.78,,,,,,,,,,5.98,,,35.46,,,,,,,,,6.15,11.53,,38.54,,,,,100.00
PKF,ATA PORTFÖY ALTIN KATILIM FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,4.1938,15.3672,21.3068,41.8394,66.2751,,,,2.0902,0.5936,"152,538,978","318,840,408.29",Katılım Fonu,"2,267",0.26,1.92,,0.01,,,,,,1.73,,,,,,,9.17,,,,80.72,,6.19,,0.26,,,,,,,,,,,,,100.00
IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,Menkul Kıymet Yatırım Fonları,Karma Şemsiye Fonu,2.528,9.8625,15.8711,39.7503,66.0697,329.8293,,,4.3360,0.8943,"113,731,654","493,138,557.12",Karma Fon,"18,038",10.61,0.15,,,,10.63,,,,9.16,,,,,,,,,,,,,,,,8.16,,,,1.83,2.26,,3.32,62.36,,2.13,,100.00
GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-3.4486,1.9216,17.5354,33.5552,64.9843,1390.2119,,,26.3855,1.3460,"28,059,274","740,356,861.27",Serbest Fon,"2,134",0.04,,,,,,,4.17,,61.73,,,,,,,,,,,,,,,,,,,,,0.56,,,30.4,,,3.14,100.00
HBF,HSBC PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,4.7246,15.7008,22.229,38.0969,64.8958,429.2987,785.0987,,21.4484,-0.4478,"64,939,796","1,392,855,322.84",Altın Fonu,"6,583",1.91,,,,,,,,,11.04,,,,,,,,0.3,,,65.36,,,,,,,,11.28,,4.54,,6.91,,,0.57,,100.00
DBA,DENİZ PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,6.16,16.0436,22.1226,40.2712,64.79,451.7149,834.545,,0.3294,0.9231,"9,177,466,300","3,023,335,597.79",Altın Fonu,"22,155",4.14,,0.23,,,,,0.12,,3.56,,,,,,,,2.34,42.9,44.18,4.42,0.02,0.23,,,,,,0.77,,,,1.09,,,,0.14,100.00
KYA,KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-4.8807,-8.4076,22.3802,57.9992,64.0571,989.2524,1650.4988,,0.9688,0.0276,"357,499,751","346,341,111.27",Hisse Senedi Fonu,"7,998",0.20,,,,,,,,,90.16,,,,,,,,,,,,,,,,,,,,,9.84,,,,,,,100.00
FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,3.5036,4.1384,10.3855,32.3926,63.8755,231.8667,,,3.2699,-0.2483,"105,446,812","344,799,950.68",Serbest Fon,817,0.02,,,,,,,0.62,,,,,,,,,,,,,,,0.4,,,,,,0.59,,0.26,,2.2,63.52,,,32.41,100.00
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-4.9219,-5.8076,-13.7911,41.1051,63.7005,388.9833,,,4.5004,-0.9804,"288,358,283","1,297,721,848.70",Hisse Senedi Fonu,"47,258",0.76,,1.80,,,,,,,90.33,,,,,,,,,,,,,0.05,,,,,,7.82,,,,,,,,,100.00
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,8.4926,8.6957,24.6563,44.9509,63.6958,361.4642,,,3.9083,-1.4495,"135,163,771","528,258,785.46",Fon Sepeti Fonu,"7,298",0.77,,,,,,,,,,,,,,,,,17.23,,,,,,,,,,,,,,,78.41,,,,4.36,100.00
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,5.4037,16.8898,21.3393,32.159,63.3546,387.1124,706.8775,,9.1225,-0.1955,"56,261,580","513,246,141.45",Katılım Fonu,"3,534",0.42,,,,,,,,,,,4.89,,,,,,,3.46,,87.61,,,,4.04,,,,,,,,,,,,,100.00
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,4.1827,16.45,20.0271,36.6963,63.337,418.1129,,,5.1949,-0.4504,"83,237,947","432,410,787.33",Katılım Fonu,"3,446",0.35,9.8,,,,,,,,,,,,,,,2.70,,8.19,,65.04,,,,5.46,,,,,,,,,8.81,,,,100.00
ZVO,ZİRAAT PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-6.1795,-3.9423,24.4305,-0.4163,63.2211,,,,3.6780,-0.7141,"228,254,967","839,529,842.55",Serbest Fon,47,0.04,0.17,,,,,,,,90.25,,,,,,,9.02,,,,,,,,,,,,,0.52,0.04,,,,,,,100.00
ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,Menkul Kıymet Yatırım Fonları,Karma Şemsiye Fonu,0.0847,4.0459,16.713,38.2568,62.5685,398.1862,,,5.9370,-0.4915,"147,534,183","875,917,434.59",Karma Fon,"15,883",18.88,,,,,11.54,,,,7.69,,,,,,,,,,,,,,,,8.63,,,,3.09,0.66,,,65.8,,1.53,1.06,100.00
GTA,GARANTİ PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,4.5542,16.3424,19.7131,36.707,62.5096,443.4089,836.1952,,0.7304,-0.5217,"13,389,238,363","9,779,139,252.35",Altın Fonu,"53,427",13.38,,,,,,,,,,,,,,,,,1.84,40.18,,57.25,0.08,,,,,,,0.11,,0.54,,,,,,,100.00
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,3.8753,11.6695,26.4066,37.9324,61.7777,,,,2.2973,0.1089,"43,260,527","99,382,095.21",Serbest Fon,213,0.01,,,,,0.99,,,,19.57,,,,,,,,,,,,,0.7,,,,,,36.67,37.68,4.39,,,,,,,100.00
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,4.0586,16.3405,19.8104,32.7923,61.7424,453.5695,849.6745,,0.3596,-0.4711,"30,374,225,037","10,922,898,679.84",Katılım Fonu,"33,994",8.84,,,8.40,,,0.01,0.38,,,,0.51,,,,,,14.5,8.26,,66.77,,,,0.94,,,,,,,,,,,,0.23,100.00
FIB,FİBA PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,4.0827,15.3056,19.5092,36.6242,61.5937,439.2767,824.6764,,0.2180,-0.3952,"7,634,542,867","1,664,457,282.28",Altın Fonu,"9,830",2.28,,,,,,,,,3.20,,,,,,,,,3.5,5.55,85.19,,2.56,,,,,,,,,,,,,,,100.00
AFO,AK PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,4.0915,16.5442,19.6984,36.1209,61.4243,441.1884,825.7534,,0.5892,-0.0694,"15,776,354,268","9,294,702,691.72",Altın Fonu,"70,105",12.72,0.11,,1.12,,,,,,,,0.55,,,,,0.07,,37.21,15.11,42.11,,,,0.24,,,,,,,,,3.48,,,,100.00
RPG,ROTA PORTFÖY ALTIN FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,4.7279,17.0281,17.489,33.8745,61.4002,,,,2.6694,-0.0922,"45,970,294","122,711,546.15",Altın Fonu,"1,686",0.17,25.65,,4.47,,,,,,16.69,,,,,,,,,,,32.01,,,,,,,,0.62,7.33,,,,,,,13.23,100.00
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,8.5669,9.1877,27.852,45.2699,61.1549,325.4727,,,4.2619,-0.7013,"475,985,587","2,028,622,041.54",Fon Sepeti Fonu,"25,379",2.96,,,,,,,,,,,,,,,,,41.94,,,,,,,,,,,1.58,6.92,5,,35.36,,,,9.2,100.00
YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,8.3394,7.1069,25.1769,44.7235,60.9385,349.9543,,,4.6164,-1.3286,"713,000,034","3,291,505,540.40",Fon Sepeti Fonu,"41,901",4.80,16.1,,,,,,,,,,,,,,,,,,,15.8,,,,,,,,0.01,,2.09,,65.5,,,,0.5,100.00
AUT,ATA PORTFÖY DENGELİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,3.1284,9.201,25.5853,39.9285,60.7597,107.6708,158.1823,,5.5392,0.1300,"40,063,162","221,916,309.49",Değişken Fon,311,0.39,,0.49,0.87,,51.37,,,,10.13,,,,,,,,,,,,,8.3,,2.24,19.32,,,,6.34,,0.94,,,,,,100.00
TMC,İŞ PORTFÖY TEMA DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,-0.7215,4.92,24.1703,40.062,60.4778,238.0268,307.1573,,0.1034,-0.1622,"2,953,457,449","305,464,702.59",Değişken Fon,"16,134",0.54,,0.07,,,,,,,65.45,,,,,,,,,,,,,,,,0.43,,,,6.48,10.96,,4.01,9.89,,1.27,1.44,100.00
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,Menkul Kıymet Yatırım Fonları,Katılım Şemsiye Fonu,5.7008,11.4568,20.4345,39.3723,60.4198,,,,4.7443,-0.1007,"237,920,986","1,128,778,082.28",Katılım Fonu,"14,564",0.91,16.06,,,,,,,,,,,,,,,,,8.87,,68.46,,,,,,,,,,,,,,,,6.61,100.00
ZMY,ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,-1.8713,-4.3007,1.4792,32.464,60.2102,,,,3.7205,-0.0238,"48,886,300","181,880,803.36",Değişken Fon,"5,476",0.32,7.85,,,,,,,,8.99,,,,,,,,,,,,,,,,,,,,4.27,5.1,,,63.51,,,10.28,100.00
IBB,İŞ PORTFÖY ATAK DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,-0.0355,1.8833,17.1824,34.1974,59.5627,432.374,633.7061,,9.8343,0.9869,"178,824,346","1,758,613,247.70",Değişken Fon,"13,861",3.09,0.96,17.54,,,,0.97,1.89,,55.94,,,,,,,,,,,,,,,,0.02,,,,0.35,17.35,,,,,,4.98,100.00
GO1,FONERİA PORTFÖY BİRİNCİ FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,3.7397,12.6901,26.7223,37.9288,58.997,,,,2.0664,0.0803,"16,802,419","34,719,946.58",Fon Sepeti Fonu,836,0.05,,,6.13,,8.45,,0.63,,2.02,,,,,,,,,,,,,3.12,,,1.07,,,,,,,,,,,78.58,100.00
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,3.0503,10.3772,17.2253,31.6624,58.9627,436.6272,,,53.2154,0.2040,"218,495,219","14,979,880,346.70",Serbest Fon,"5,629",0.76,,,,,1.27,,0.04,,,,,,,13.74,,,,,,,1.86,,80.75,,,,,,,,,,,,0.39,1.95,100.00
TYH,TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-3.853,-5.7871,28.5166,52.9249,58.8839,981.702,1613.7641,,1.6457,0.7360,"1,322,922,605","2,177,163,778.79",Hisse Senedi Fonu,"14,291",1.28,,,,,,,,,90.46,,,,,,,,,,,,,,,,,,,0.02,3.89,1.91,,,,,,3.72,100.00
HOA,HSBC PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,0.5684,0.5712,15.1846,37.643,58.6875,294.5247,485.0182,,0.1080,-0.1322,"6,672,183,745","720,880,198.70",Değişken Fon,"4,083",1.27,,,6.17,,1,,,,14.93,,,,,,,,,,,,,,,,0.53,,,10.18,,1.5,0.25,8.45,54.74,,,2.25,100.00
KSA,HEDEF PORTFÖY KISA VADELİ SERBEST (TL) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,4.346,13.0262,28.7642,41.1267,58.524,,,,1.7558,0.1383,"941,325,712","1,652,747,030.94",Serbest Fon,521,0.08,,,18.11,,26.35,,,,,,,,,,,,,,,,,24.62,,,7.81,,,4.57,18.3,,0.24,,,,,,100.00
